codigo,acao,tipo,qtde_teorica,part_teorica
ABEV3,AMBEV S/A,ON,4.273.841.357,2599.0
ASAI3,ASSAI,ON NM,1.344.470.815,599.0
AXIA3,AXIA ENERGIA,ON N1,1.974.649.558,5531.0
B3SA3,B3,ON NM,5.196.371.458,3392.0
BBSE3,BBSEGURIDADE,ON NM,616.186.808,942.0
BBDC3,BRADESCO,ON N1,1.467.570.789,1079.0
BBDC4,BRADESCO,PN N1,5.106.488.516,4408.0
BBAS3,BRASIL,ON NM,2.842.496.541,2792.0
BRAV3,BRAVA,ON NM,461.715.081,278.0
BPAC11,BTGP BANCO,UNT N2,1.404.794.900,3278.0
CMIG4,CEMIG,PN N1,1.904.057.894,968.0
COGN3,COGNA ON,ON NM,1.810.877.718,313.0
CPLE5,COPEL,PNA N2,1.671.982.390,1065.0
CSAN3,COSAN,ON NM,3.248.010.756,879.0
CYRE3,CYRELA REALT,ON NM,256.055.995,395.0
EMBJ3,EMBRAER,ON NM,733.564.938,2713.0
ENGI11,ENERGISA,UNT EDB N2,358.053.350,787.0
ENEV3,ENEVA,ON ATZ NM,1.912.620.486,1699.0
EQTL3,EQUATORIAL,ON NM,1.246.479.596,2191.0
GGBR4,GERDAU,PN N1,1.276.025.309,1081.0
HAPV3,HAPVIDA,ON NM,311.257.700,207.0
HYPE3,HYPERA,ON NM,293.521.155,344.0
ITSA4,ITAUSA,PN N1,5.853.286.928,3120.0
ITUB4,ITAUUNIBANCO,PN N1,5.279.280.090,9525.0
KLBN11,KLABIN S/A,UNT N2,784.510.115,617.0
RENT3,LOCALIZA,ON NM,977.042.684,1936.0
LREN3,LOJAS RENNER,ON NM,1.000.358.705,704.0
MGLU3,MAGAZ LUIZA,ON NM,355.414.674,159.0
POMO4,MARCOPOLO,PN EDJ N2,661.573.516,187.0
MBRF3,MARFRIG,ON NM,708.146.298,615.0
MOTV3,MOTIVA SA,ON NM,988.559.510,708.0
MULT3,MULTIPLAN,ON N2,314.022.221,417.0
NATU3,NATURA,ON NM,839.505.097,295.0
PETR3,PETROBRAS,ON N2,3.478.483.761,5275.0
PETR4,PETROBRAS,PN N2,4.410.960.450,6334.0
PRIO3,PETRORIO,ON NM,762.764.253,1274.0
RADL3,RAIADROGASIL,ON NM,1.285.713.898,1348.0
RDOR3,REDE D OR,ON NM,1.091.469.308,2228.0
RAIL3,RUMO S.A.,ON NM,1.215.488.549,917.0
SBSP3,SABESP,ON NM,683.497.006,4297.0
CSNA3,SID NACIONAL,ON,727.975.012,274.0
SUZB3,SUZANO S.A.,ON NM,645.082.079,1378.0
VIVT3,TELEF BRASIL,ON EJ,738.065.812,1153.0
TIMS3,TIM,ON NM,804.628.136,893.0
TOTS3,TOTVS,ON NM,533.261.054,1005.0
UGPA3,ULTRAPAR,ON NM,1.071.443.332,1059.0
VALE3,VALE,ON NM,4.267.772.018,12545.0
VBBR3,VIBRA,ON EJB NM,1.191.669.079,1297.0
WEGE3,WEG,ON NM,1.485.954.732,2900.0
